CatNum,DateNum,TimeNum,DescNum,DayNum,DistNum,ResNum,AddNum,X,Y
26,4,642,1,7,10,2,779,-122.3655654,37.8096707
14,4,416,2,7,10,2,779,-122.3655654,37.8096707
18,1,649,2,3,1,1,2,-122.424363,37.80041432
14,4,406,3,7,10,2,779,-122.3655654,37.8096707
14,1,648,3,3,2,2,4,-122.4387376,37.77154117
14,1,648,4,3,3,2,5,-122.4032524,37.7134307
29,1,648,5,3,3,2,6,-122.423327,37.72513804
29,1,648,5,3,4,2,7,-122.3712743,37.72756407
14,4,313,3,7,10,2,779,-122.3655654,37.8096707
18,5,440,3,6,10,2,779,-122.3655654,37.8096707
29,6,480,6,5,10,2,779,-122.3655654,37.8096707
18,1,620,7,3,7,2,10,-122.4879831,37.73766665
14,3,268,8,1,4,2,690,-122.3729261,37.73045996
28,7,525,3,4,4,2,690,-122.3729261,37.73045996
2,1,289,9,3,4,1,191,-122.3740193,37.72920336
17,1,605,9,3,4,2,14,-122.3836915,37.74318904
22,1,289,10,3,4,1,191,-122.3740193,37.72920336
2,1,603,11,3,3,2,16,-122.4216815,37.7428222
18,1,597,12,3,4,1,17,-122.3864009,37.73898349
2,1,289,9,3,4,1,191,-122.3740193,37.72920336
14,1,592,3,3,3,2,19,-122.4493891,37.7426688
20,1,587,13,3,3,2,20,-122.4202721,37.74733163
29,3,140,1,1,4,2,742,-122.3798619,37.72588882
29,3,140,14,1,4,2,742,-122.3798619,37.72588882
14,1,583,3,3,1,2,21,-122.4360492,37.79984122
2,3,523,15,1,4,2,580,-122.3815608,37.73812418
14,1,579,3,3,1,2,23,-122.4310176,37.78738807
14,1,579,3,3,3,2,24,-122.4236563,37.73255649
14,1,579,16,3,7,2,25,-122.4757735,37.74491907
18,1,577,7,3,7,2,26,-122.4997871,37.7485176
20,3,523,3,1,4,2,580,-122.3815608,37.73812418
7,1,468,17,3,4,2,91,-122.3818379,37.73110435
18,1,468,18,3,4,2,91,-122.3818379,37.73110435
2,1,468,3,3,4,2,91,-122.3818379,37.73110435
24,1,468,18,3,4,2,91,-122.3818379,37.73110435
26,3,305,3,1,4,2,670,-122.3828694,37.73664286
14,1,562,3,3,1,2,32,-122.4318307,37.7956417
14,1,562,3,3,1,2,33,-122.4305518,37.78932277
31,1,561,19,3,7,2,34,-122.473182,37.72156474
28,1,558,18,3,3,2,35,-122.4324465,37.71083265
17,1,557,20,3,10,2,36,-122.4052948,37.78630722
14,1,550,6,3,10,2,37,-122.4221276,37.77303302
18,5,186,21,6,4,2,670,-122.3828694,37.73664286
18,4,4,22,7,4,1,1018,-122.3851225,37.72785972
31,5,492,23,6,4,2,1018,-122.3851225,37.72785972
18,1,543,24,3,6,3,40,-122.415212,37.78887145
29,1,543,25,3,3,2,41,-122.4237023,37.73523279
17,3,28,26,1,4,2,765,-122.3864377,37.71918345
2,6,323,20,5,4,1,765,-122.3864377,37.71918345
4,1,539,27,3,2,1,44,-122.4477611,37.76984649
18,3,517,28,1,4,1,582,-122.3865942,37.72781834
31,3,517,11,1,4,1,582,-122.3865942,37.72781834
14,1,530,29,3,10,2,46,-122.4032848,37.78730642
14,1,530,4,3,10,2,47,-122.3976156,37.77739182
26,1,530,30,3,10,2,48,-122.4203472,37.77176907
14,1,530,26,3,10,2,49,-122.3998021,37.78800653
31,3,517,31,1,4,1,582,-122.3865942,37.72781834
7,3,517,3,1,4,1,582,-122.3865942,37.72781834
31,3,517,3,1,4,1,582,-122.3865942,37.72781834
31,5,493,32,6,4,1,1109,-122.3866194,37.73246706
31,5,493,5,6,4,1,1109,-122.3866194,37.73246706
22,5,493,33,6,4,1,1109,-122.3866194,37.73246706
18,7,43,30,4,4,3,1109,-122.3866194,37.73246706
17,1,524,20,3,10,2,55,-122.3950978,37.79405905
14,1,523,6,3,10,2,56,-122.4116366,37.77178694
14,1,523,4,3,7,2,57,-122.4748992,37.72699053
18,6,186,34,5,4,2,1391,-122.3869421,37.75416798
14,7,543,35,4,4,2,1493,-122.3869421,37.75416798
17,7,543,2,4,4,2,1493,-122.3869421,37.75416798
22,7,499,3,4,4,1,1517,-122.3869859,37.72892041
28,7,499,3,4,4,1,1517,-122.3869859,37.72892041
14,1,512,3,3,1,2,60,-122.4341214,37.78603305
14,1,512,3,3,4,2,61,-122.3971362,37.72280498
29,1,512,5,3,9,2,62,-122.4225723,37.74877401
14,1,512,3,3,6,2,63,-122.4069587,37.78943476
18,2,112,35,2,4,1,486,-122.3870359,37.73360265
7,6,529,1,5,4,1,486,-122.3870359,37.73360265
17,1,508,20,3,2,4,65,-122.4424965,37.76048588
7,6,529,3,5,4,1,486,-122.3870359,37.73360265
18,1,505,24,3,9,1,67,-122.4135917,37.76382223
17,1,505,15,3,6,2,68,-122.4020426,37.79750489
7,6,529,20,5,4,1,486,-122.3870359,37.73360265
18,6,528,36,5,4,2,486,-122.3870359,37.73360265
20,8,470,24,3,4,2,1732,-122.387099,37.73624213
18,1,495,12,3,3,1,71,-122.4115042,37.74778591
14,1,495,37,3,2,2,72,-122.4369999,37.77916217
2,8,470,3,3,4,2,1732,-122.387099,37.73624213
4,1,495,38,3,4,2,74,-122.417938,37.72660514
18,8,470,3,3,4,2,1732,-122.387099,37.73624213
14,6,530,3,5,4,2,1289,-122.3873163,37.75800217
14,8,479,39,3,4,2,1289,-122.3873163,37.75800217
17,1,488,20,3,8,2,77,-122.4150887,37.78367196
14,1,487,3,3,7,2,78,-122.4669911,37.73972316
14,1,487,6,3,6,2,79,-122.4178006,37.80126838
14,1,485,4,3,6,2,80,-122.42018,37.80478965
14,1,484,3,3,4,2,81,-122.4040999,37.72883734
18,1,481,12,3,9,1,82,-122.4150147,37.75083639
28,8,479,40,3,4,2,1289,-122.3873163,37.75800217
14,1,480,4,3,4,2,84,-122.3875713,37.76054996
14,1,480,3,3,2,2,85,-122.4353184,37.76410203
14,1,480,3,3,2,2,86,-122.4513601,37.77517416
18,4,12,3,7,4,3,1011,-122.3875868,37.75026529
14,6,530,41,5,4,2,1288,-122.3875868,37.75026529
17,6,530,42,5,4,2,1288,-122.3875868,37.75026529
26,4,181,43,7,4,2,966,-122.3879236,37.76372692
17,1,471,9,3,6,2,89,-122.4070086,37.79969689
14,1,469,44,3,1,2,90,-122.4225406,37.78690887
26,4,181,45,7,4,2,966,-122.3879236,37.76372692
2,8,497,46,3,4,1,1718,-122.3880041,37.75538983
18,8,497,47,3,4,1,1718,-122.3880041,37.75538983
2,8,497,48,3,4,1,1718,-122.3880041,37.75538983
18,2,624,49,2,4,1,286,-122.388275,37.74004674
16,3,479,3,1,4,2,286,-122.388275,37.74004674
16,3,479,23,1,4,2,286,-122.388275,37.74004674
2,2,526,50,2,10,2,331,-122.3883799,37.78331041
14,4,375,3,7,10,2,896,-122.3883799,37.78331041
14,6,512,35,5,10,2,1296,-122.3884856,37.78957276
14,6,495,1,5,10,2,1302,-122.3884856,37.78957276
17,1,461,51,3,10,2,97,-122.4156581,37.77539248
14,1,460,29,3,9,2,98,-122.4190589,37.75942275
18,1,460,24,3,3,3,99,-122.4168243,37.73488852
14,4,594,3,7,10,2,796,-122.3890406,37.78432123
18,1,459,24,3,9,1,101,-122.4035248,37.75445344
14,6,184,52,5,10,2,796,-122.3890406,37.78432123
4,1,455,53,3,6,2,103,-122.4132985,37.78705782
17,1,341,54,3,4,2,170,-122.3895176,37.77246824
16,8,373,18,3,4,2,170,-122.3895176,37.77246824
18,5,511,8,6,10,1,1099,-122.3895953,37.7798612
18,1,440,55,3,3,2,107,-122.4234664,37.74072837
4,1,440,56,3,1,2,108,-122.4256351,37.77743878
14,1,440,3,3,6,2,109,-122.4162596,37.80618612
14,1,440,6,3,5,2,110,-122.4997301,37.78035003
28,8,480,8,3,10,2,1727,-122.3895953,37.7798612
30,3,494,5,1,4,1,600,-122.3903603,37.72050646
30,3,494,15,1,4,1,600,-122.3903603,37.72050646
20,1,435,57,3,3,2,114,-122.4350413,37.72425605
11,1,435,58,3,3,1,115,-122.4174505,37.73920707
27,1,433,52,3,1,1,116,-122.4319275,37.77073153
2,8,366,3,3,4,2,1757,-122.390417,37.73559261
13,8,366,8,3,4,2,1757,-122.390417,37.73559261
30,1,430,1,3,10,1,118,-122.4058325,37.78574465
14,1,429,3,3,2,2,119,-122.4505559,37.77533518
14,1,426,6,3,10,2,120,-122.3962658,37.78344043
30,1,425,1,3,6,1,121,-122.4071522,37.79036558
14,1,424,29,3,9,2,122,-122.4265894,37.76841217
20,8,366,59,3,4,2,1757,-122.390417,37.73559261
29,1,424,60,3,1,2,124,-122.4315532,37.78630399
14,7,92,29,4,10,1,1637,-122.3904424,37.78678894
31,7,92,61,4,10,1,1637,-122.3904424,37.78678894
18,1,416,62,3,4,2,127,-122.4042596,37.73871271
18,7,92,30,4,10,1,1637,-122.3904424,37.78678894
18,7,92,28,4,10,1,1637,-122.3904424,37.78678894
20,1,408,63,3,2,2,130,-122.4450692,37.76285497
18,7,92,6,4,10,1,1637,-122.3904424,37.78678894
14,1,406,3,3,5,2,132,-122.5102257,37.76724422
28,1,406,18,3,4,2,133,-122.3759892,37.73015769
28,1,406,8,3,3,2,134,-122.4545072,37.74111331
14,1,406,3,3,3,2,135,-122.447802,37.74176976
18,5,411,32,6,10,1,1130,-122.3905314,37.78060708
18,5,411,5,6,10,1,1130,-122.3905314,37.78060708
14,6,614,64,5,10,2,1130,-122.3905314,37.78060708
14,8,548,51,3,10,2,1130,-122.3905314,37.78060708
6,7,11,30,4,4,1,1653,-122.3909717,37.73401522
18,7,11,65,4,4,1,1653,-122.3909717,37.73401522
17,1,399,20,3,6,2,140,-122.4210243,37.80472956
17,4,277,66,7,10,2,925,-122.3914251,37.77787278
17,5,323,3,6,10,2,925,-122.3914251,37.77787278
28,1,387,18,3,4,2,143,-122.3977468,37.75999239
14,7,480,61,4,4,2,1524,-122.3915152,37.73803768
9,7,480,67,4,4,2,1524,-122.3915152,37.73803768
2,3,323,68,1,4,2,665,-122.3915229,37.73243239
2,3,323,69,1,4,2,665,-122.3915229,37.73243239
14,1,382,29,3,1,2,147,-122.4238031,37.78896574
29,1,373,60,3,1,2,148,-122.4280877,37.78958206
30,1,373,35,3,4,1,149,-122.3920652,37.7299736
18,8,654,20,3,4,3,665,-122.3915229,37.73243239
26,1,373,69,3,1,2,151,-122.4213327,37.77709027
14,1,562,6,3,10,2,31,-122.3918456,37.77812478
14,1,373,6,3,6,2,153,-122.4238488,37.80622143
14,1,373,3,3,1,2,154,-122.4313698,37.78537304
18,5,495,3,6,10,1,1107,-122.3918456,37.77812478
18,5,495,70,6,10,1,1107,-122.3918456,37.77812478
14,3,614,71,1,10,2,533,-122.3920823,37.78184577
14,8,499,20,3,10,2,1717,-122.3920823,37.78184577
12,2,543,72,2,10,2,326,-122.3931106,37.77731032
18,4,162,73,7,10,2,326,-122.3931106,37.77731032
14,6,358,1,5,10,2,326,-122.3931106,37.77731032
